tmax,tmin,station,date
16.7,0.5,AZUL AERO,2018-10-05
22.4,0.8,BAHIA BLANCA AERO,2018-10-05
21,1.4,BARILOCHE AERO,2018-10-05
-9.5,-18.9,BASE BELGRANO II,2018-10-05
0.4,-5.6,BASE CARLINI (EX JUBANY),2018-10-05
-1.1,-10.2,BASE ESPERANZA,2018-10-05
-1.7,-10.1,BASE MARAMBIO,2018-10-05
-3.2,-8.2,BASE ORCADAS,2018-10-05
-3.6,-16,BASE SAN MARTIN,2018-10-05
17.4,-0.9,BENITO JUAREZ AERO,2018-10-05
19.2,11.8,BERNARDO DE IRIGOYEN AERO,2018-10-05
18.5,4.9,BOLIVAR AERO,2018-10-05
19,9.9,BUENOS AIRES,2018-10-05
19.7,5.5,CAMPO DE MAYO AERO,2018-10-05
31.6,19.2,CATAMARCA AERO,2018-10-05
26.6,14.9,CERES AERO,2018-10-05
29.8,17.3,CHAMICAL AERO,2018-10-05
21.7,-0.4,CHAPELCO AERO,2018-10-05
28,17,CHEPES,2018-10-05
27.8,12.5,CHILECITO AERO,2018-10-05
24.3,8.3,CIPOLLETTI,2018-10-05
20.1,2.5,COMODORO RIVADAVIA AERO,2018-10-05
20.9,8.9,CONCORDIA AERO,2018-10-05
25.1,11.7,CORDOBA AERO,2018-10-05
26.2,13.3,CORDOBA OBSERVATORIO,2018-10-05
17.6,-1,CORONEL PRINGLES AERO,2018-10-05
18.4,0.5,CORONEL SUAREZ AERO,2018-10-05
25,14.5,CORRIENTES AERO,2018-10-05
14.6,5,DOLORES AERO,2018-10-05
21.7,-1.1,EL BOLSON AERO,2018-10-05
13.7,-1.6,EL CALAFATE AERO,2018-10-05
21,5.5,EL PALOMAR AERO,2018-10-05
23.5,9.5,EL TREBOL,2018-10-05
,,ESC.AVIACION MILITAR AERO,2018-10-05
21.2,-0.8,ESQUEL AERO,2018-10-05
18.9,7,EZEIZA AERO,2018-10-05
24.3,17.5,FORMOSA AERO,2018-10-05
,5.6,GENERAL PICO AERO,2018-10-05
16.2,3.2,GOBERNADOR GREGORES AERO,2018-10-05
20.5,7.3,GUALEGUAYCHU AERO,2018-10-05
25.4,14,IGUAZU AERO,2018-10-05
24.8,12.5,ITUZAINGO,2018-10-05
,,JACHAL,2018-10-05
27.1,14.6,JUJUY AERO,2018-10-05
25.2,12.2,JUJUY U N,2018-10-05
21.6,7.5,JUNIN AERO,2018-10-05
16.5,4.5,LA PLATA AERO,2018-10-05
19.2,6,LA QUIACA OBS.,2018-10-05
31.2,14.5,LA RIOJA AERO,2018-10-05
22.1,8.2,LABOULAYE AERO,2018-10-05
,6.5,LAS FLORES AERO,2018-10-05
29.1,18.4,LAS LOMITAS,2018-10-05
20.4,3,MALARGUE AERO,2018-10-05
22.4,-1.8,MAQUINCHAO,2018-10-05
12.7,6,MAR DEL PLATA AERO,2018-10-05
