tmax,tmin,station,date
17.8,2.1,RECONQUISTA AERO,2019-08-20
22.5,3,RESISTENCIA AERO,2019-08-20
9,3.4,RIO COLORADO,2019-08-20
15.7,1.4,RIO CUARTO AERO,2019-08-20
7.5,-3.5,RIO GALLEGOS AERO,2019-08-20
3.4,-3.8,RIO GRANDE B.A.,2019-08-20
24.4,5.8,RIVADAVIA,2019-08-20
12.6,4.9,ROSARIO AERO,2019-08-20
18.9,1.6,SALTA AERO,2019-08-20
9.1,2,SAN ANTONIO OESTE AERO,2019-08-20
14,-3,SAN CARLOS (MZA),2019-08-20
11.2,6.5,SAN FERNANDO,2019-08-20
15.5,6,SAN JUAN AERO,2019-08-20
7.3,-3.1,SAN JULIAN AERO,2019-08-20
14.3,4.8,SAN LUIS AERO,2019-08-20
15.1,0.2,SAN MARTIN (MZA),2019-08-20
12.9,-1.4,SAN RAFAEL AERO,2019-08-20
6.8,-6,SANTA CRUZ AERO,2019-08-20
10,2.2,SANTA ROSA AERO,2019-08-20
14.4,6,SANTA ROSA DE CONLARA AERO,2019-08-20
19.3,1,SANTIAGO DEL ESTERO AERO,2019-08-20
15.8,3.8,SAUCE VIEJO AERO,2019-08-20
16.2,1,SUNCHALES AERO,2019-08-20
10,-4,TANDIL AERO,2019-08-20
20.2,6.5,TARTAGAL AERO,2019-08-20
18.2,7,TERMAS DE RIO HONDO AERO,2019-08-20
20,0,TINOGASTA,2019-08-20
9.6,-4,TRELEW AERO,2019-08-20
10,2.6,TRENQUE LAUQUEN,2019-08-20
8.9,-1.4,TRES ARROYOS,2019-08-20
18,5.2,TUCUMAN AERO,2019-08-20
6.5,-1,USHUAIA AERO,2019-08-20
18.5,-2.5,USPALLATA,2019-08-20
14,2.9,VENADO TUERTO,2019-08-20
11,1.6,VICTORICA,2019-08-20
10.1,0.5,VIEDMA AERO,2019-08-20
16.5,6.8,VILLA DOLORES AERO,2019-08-20
9.5,-1.5,VILLA GESELL AERO,2019-08-20
15.9,1.6,VILLA MARIA DEL RIO SECO,2019-08-20
15,1.8,VILLA REYNOLDS AERO,2019-08-20
11.3,7.5,AEROPARQUE AERO,2019-08-21
11.5,1,AZUL AERO,2019-08-21
13.2,4.4,BAHIA BLANCA AERO,2019-08-21
7.4,-0.3,BARILOCHE AERO,2019-08-21
-7,-13.5,BASE BELGRANO II,2019-08-21
-2.4,-7.8,BASE CARLINI (EX JUBANY),2019-08-21
3.4,-6.5,BASE ESPERANZA,2019-08-21
-2.3,-9.2,BASE MARAMBIO,2019-08-21
-13.9,-21.1,BASE ORCADAS,2019-08-21
-2.2,-10,BASE SAN MARTIN,2019-08-21
9.5,-0.3,BENITO JUAREZ AERO,2019-08-21
22,7.8,BERNARDO DE IRIGOYEN AERO,2019-08-21
13.1,1.9,BOLIVAR AERO,2019-08-21
12.5,7.2,BUENOS AIRES,2019-08-21
11.6,5.6,CAMPO DE MAYO AERO,2019-08-21
22.5,10.3,CATAMARCA AERO,2019-08-21
22,3,CERES AERO,2019-08-21
19.4,5.9,CHAMICAL AERO,2019-08-21
11.2,1,CHAPELCO AERO,2019-08-21
19,9,CHEPES,2019-08-21
18.4,0.3,CHILECITO AERO,2019-08-21
11.2,3.6,CIPOLLETTI,2019-08-21
13.8,1.5,COMODORO RIVADAVIA AERO,2019-08-21
17.4,2.5,CONCORDIA AERO,2019-08-21
17.5,-2.1,CORDOBA AERO,2019-08-21
18,3.5,CORDOBA OBSERVATORIO,2019-08-21
,2.5,CORONEL PRINGLES AERO,2019-08-21
11.3,1.1,CORONEL SUAREZ AERO,2019-08-21
23.6,6.3,CORRIENTES AERO,2019-08-21
11.1,-0.5,DOLORES AERO,2019-08-21
10.7,3,EL BOLSON AERO,2019-08-21
2.9,-3,EL CALAFATE AERO,2019-08-21
13,5.5,EL PALOMAR AERO,2019-08-21
17.8,2.6,EL TREBOL,2019-08-21
17,-1.8,ESC.AVIACION MILITAR AERO,2019-08-21
,0,ESQUEL AERO,2019-08-21
12.5,3.4,EZEIZA AERO,2019-08-21
25.8,9.3,FORMOSA AERO,2019-08-21
15.3,1,GENERAL PICO AERO,2019-08-21
8.5,-1,GOBERNADOR GREGORES AERO,2019-08-21
15.5,3.8,GUALEGUAYCHU AERO,2019-08-21
25.5,9.7,IGUAZU AERO,2019-08-21
24.6,4.5,ITUZAINGO,2019-08-21
18.7,-7,JACHAL,2019-08-21
21.6,2.2,JUJUY AERO,2019-08-21
19.2,2.8,JUJUY U N,2019-08-21
15.6,1,JUNIN AERO,2019-08-21
11.3,1.6,LA PLATA AERO,2019-08-21
21.4,-2.7,LA QUIACA OBS.,2019-08-21
20.4,4.7,LA RIOJA AERO,2019-08-21
18.3,2.2,LABOULAYE AERO,2019-08-21
12,3,LAS FLORES AERO,2019-08-21
27,8,LAS LOMITAS,2019-08-21
16.4,1.8,MALARGUE AERO,2019-08-21
8.6,0.2,MAQUINCHAO,2019-08-21
9.2,-2.3,MAR DEL PLATA AERO,2019-08-21
17.2,2.9,MARCOS JUAREZ AERO,2019-08-21
13,1.5,MARIANO MORENO AERO,2019-08-21
17.4,2.2,MENDOZA AERO,2019-08-21
,3.4,MENDOZA OBSERVATORIO,2019-08-21
20.5,6,MERCEDES AERO (CTES),2019-08-21
13,4,MERLO AERO,2019-08-21
22,4.1,METAN,2019-08-21
18.6,5.5,MONTE CASEROS AERO,2019-08-21
12.2,5.3,MORON AERO,2019-08-21
10.8,4.1,NEUQUEN AERO,2019-08-21
14,2.3,NUEVE DE JULIO,2019-08-21
,,OBERA AERO,2019-08-21
11.9,2.5,OLAVARRIA AERO,2019-08-21
25.2,9.4,ORAN AERO,2019-08-21
18.6,2.8,PARANA AERO,2019-08-21
13.2,1,PASO DE INDIOS,2019-08-21
19.3,6.2,PASO DE LOS LIBRES AERO,2019-08-21
25.2,3,PCIA. ROQUE SAENZ PE�A AERO,2019-08-21
13,1,PEHUAJO AERO,2019-08-21
8.2,0.8,PERITO MORENO AERO,2019-08-21
11,2.3,PIGUE AERO,2019-08-21
17.2,-1.1,PILAR OBS.,2019-08-21
24.5,8.2,POSADAS AERO,2019-08-21
7.4,1.2,PUERTO DESEADO AERO,2019-08-21
11,5,PUERTO MADRYN AERO,2019-08-21
10.8,2.5,PUNTA INDIO B.A.,2019-08-21
,2.1,RAFAELA AERO,2019-08-21
21.8,5.3,RECONQUISTA AERO,2019-08-21
24.7,7.3,RESISTENCIA AERO,2019-08-21
12.4,5.2,RIO COLORADO,2019-08-21
17,2.5,RIO CUARTO AERO,2019-08-21
6.5,1.7,RIO GALLEGOS AERO,2019-08-21
5.3,1.8,RIO GRANDE B.A.,2019-08-21
28,7.3,RIVADAVIA,2019-08-21
15.1,5.3,ROSARIO AERO,2019-08-21
19.6,1.2,SALTA AERO,2019-08-21
11.6,4.2,SAN ANTONIO OESTE AERO,2019-08-21
17,-0.5,SAN CARLOS (MZA),2019-08-21
12,5.5,SAN FERNANDO,2019-08-21
19,-1.5,SAN JUAN AERO,2019-08-21
6.6,1.9,SAN JULIAN AERO,2019-08-21
19,3.8,SAN LUIS AERO,2019-08-21
18.5,2.1,SAN MARTIN (MZA),2019-08-21
18.5,1.6,SAN RAFAEL AERO,2019-08-21
5.3,-0.6,SANTA CRUZ AERO,2019-08-21
13.5,2.1,SANTA ROSA AERO,2019-08-21
19.2,-2.5,SANTA ROSA DE CONLARA AERO,2019-08-21
23.5,1.8,SANTIAGO DEL ESTERO AERO,2019-08-21
18.8,4.5,SAUCE VIEJO AERO,2019-08-21
19.8,2,SUNCHALES AERO,2019-08-21
9.7,-1,TANDIL AERO,2019-08-21
23.5,9.4,TARTAGAL AERO,2019-08-21
23.2,2.5,TERMAS DE RIO HONDO AERO,2019-08-21
23.5,0.5,TINOGASTA,2019-08-21
12.9,1.9,TRELEW AERO,2019-08-21
15.4,1.5,TRENQUE LAUQUEN,2019-08-21
9.7,1.7,TRES ARROYOS,2019-08-21
23,5.4,TUCUMAN AERO,2019-08-21
5.8,,USHUAIA AERO,2019-08-21
24.2,-3.8,USPALLATA,2019-08-21
16.5,0.5,VENADO TUERTO,2019-08-21
16,3.9,VICTORICA,2019-08-21
10.2,3.7,VIEDMA AERO,2019-08-21
21.5,2.4,VILLA DOLORES AERO,2019-08-21
10,0,VILLA GESELL AERO,2019-08-21
19.2,-2.4,VILLA MARIA DEL RIO SECO,2019-08-21
21,-1.1,VILLA REYNOLDS AERO,2019-08-21
13,9.4,AEROPARQUE AERO,2019-08-22
16.7,4.2,AZUL AERO,2019-08-22
18.4,6.4,BAHIA BLANCA AERO,2019-08-22
10.8,-1.8,BARILOCHE AERO,2019-08-22
-8.5,-17.4,BASE BELGRANO II,2019-08-22
-2.6,-7.4,BASE CARLINI (EX JUBANY),2019-08-22
-1.5,-7,BASE ESPERANZA,2019-08-22
-4.6,-9.5,BASE MARAMBIO,2019-08-22
-8.5,-20,BASE ORCADAS,2019-08-22
-8.4,-18,BASE SAN MARTIN,2019-08-22
17,3.8,BENITO JUAREZ AERO,2019-08-22
23.2,12,BERNARDO DE IRIGOYEN AERO,2019-08-22
18.9,4.9,BOLIVAR AERO,2019-08-22
16,8.6,BUENOS AIRES,2019-08-22
16.2,6.6,CAMPO DE MAYO AERO,2019-08-22
24.2,3.7,CATAMARCA AERO,2019-08-22
22,10,CERES AERO,2019-08-22
24.6,6.3,CHAMICAL AERO,2019-08-22
12,0,CHAPELCO AERO,2019-08-22
22.5,5,CHEPES,2019-08-22
24.6,3.7,CHILECITO AERO,2019-08-22
17.7,-0.6,CIPOLLETTI,2019-08-22
16.8,8.4,COMODORO RIVADAVIA AERO,2019-08-22
14.9,4.7,CONCORDIA AERO,2019-08-22
22.7,3.5,CORDOBA AERO,2019-08-22
23.8,6.6,CORDOBA OBSERVATORIO,2019-08-22
17.9,3,CORONEL PRINGLES AERO,2019-08-22
18.3,1.6,CORONEL SUAREZ AERO,2019-08-22
21.4,10.8,CORRIENTES AERO,2019-08-22
15.7,3,DOLORES AERO,2019-08-22
10.5,-1.7,EL BOLSON AERO,2019-08-22
9.4,-5,EL CALAFATE AERO,2019-08-22
17.2,6.3,EL PALOMAR AERO,2019-08-22
20.1,8.2,EL TREBOL,2019-08-22
23.5,3.5,ESC.AVIACION MILITAR AERO,2019-08-22
,-2.1,ESQUEL AERO,2019-08-22
16.7,4.2,EZEIZA AERO,2019-08-22
21,13,FORMOSA AERO,2019-08-22
20.5,2,GENERAL PICO AERO,2019-08-22
13,4,GOBERNADOR GREGORES AERO,2019-08-22
16.5,6.5,GUALEGUAYCHU AERO,2019-08-22
26.5,11.5,IGUAZU AERO,2019-08-22
18.4,7.5,ITUZAINGO,2019-08-22
22.9,-4,JACHAL,2019-08-22
24.2,6,JUJUY AERO,2019-08-22
22.1,4,JUJUY U N,2019-08-22
18.2,6.2,JUNIN AERO,2019-08-22
14.5,4,LA PLATA AERO,2019-08-22
19.6,-2.4,LA QUIACA OBS.,2019-08-22
26.4,6.4,LA RIOJA AERO,2019-08-22
20.7,4.2,LABOULAYE AERO,2019-08-22
17,5,LAS FLORES AERO,2019-08-22
25.1,13.8,LAS LOMITAS,2019-08-22
16.2,-0.5,MALARGUE AERO,2019-08-22
11,-2.6,MAQUINCHAO,2019-08-22
15.5,5.4,MAR DEL PLATA AERO,2019-08-22
22,7.3,MARCOS JUAREZ AERO,2019-08-22
17.3,5.7,MARIANO MORENO AERO,2019-08-22
19.5,4.8,MENDOZA AERO,2019-08-22
,6.1,MENDOZA OBSERVATORIO,2019-08-22
18.4,8,MERCEDES AERO (CTES),2019-08-22
17,6.4,MERLO AERO,2019-08-22
24,5.4,METAN,2019-08-22
15.8,7.6,MONTE CASEROS AERO,2019-08-22
17,7.9,MORON AERO,2019-08-22
16.6,-0.9,NEUQUEN AERO,2019-08-22
19.4,6.3,NUEVE DE JULIO,2019-08-22
16.8,4.7,OLAVARRIA AERO,2019-08-22
25.3,8.6,ORAN AERO,2019-08-22
19.1,8.4,PARANA AERO,2019-08-22
15,1.2,PASO DE INDIOS,2019-08-22
15.8,7.5,PASO DE LOS LIBRES AERO,2019-08-22
25,13,PCIA. ROQUE SAENZ PE�A AERO,2019-08-22
18.8,6.8,PEHUAJO AERO,2019-08-22
11.6,-0.4,PERITO MORENO AERO,2019-08-22
17.6,1.3,PIGUE AERO,2019-08-22
22.3,6.3,PILAR OBS.,2019-08-22
19.4,9.6,POSADAS AERO,2019-08-22
12.2,3.6,PUERTO DESEADO AERO,2019-08-22
15.6,2.2,PUERTO MADRYN AERO,2019-08-22
14,6,PUNTA INDIO B.A.,2019-08-22
15.5,8.4,RAFAELA AERO,2019-08-22
21.1,10.5,RECONQUISTA AERO,2019-08-22
22.2,11.9,RESISTENCIA AERO,2019-08-22
19.2,3.2,RIO COLORADO,2019-08-22
19.4,6.6,RIO CUARTO AERO,2019-08-22
10.5,1.6,RIO GALLEGOS AERO,2019-08-22
8.2,1,RIO GRANDE B.A.,2019-08-22
27,12.3,RIVADAVIA,2019-08-22
20,7.2,ROSARIO AERO,2019-08-22
22.5,2.5,SALTA AERO,2019-08-22
19,0.5,SAN ANTONIO OESTE AERO,2019-08-22
19.2,2,SAN CARLOS (MZA),2019-08-22
15.1,8.5,SAN FERNANDO,2019-08-22
22.7,3.8,SAN JUAN AERO,2019-08-22
11.4,2.1,SAN JULIAN AERO,2019-08-22
22.2,5.6,SAN LUIS AERO,2019-08-22
20.5,6.1,SAN MARTIN (MZA),2019-08-22
19,2.6,SAN RAFAEL AERO,2019-08-22
10.5,0.4,SANTA CRUZ AERO,2019-08-22
20,1.5,SANTA ROSA AERO,2019-08-22
23,2.8,SANTA ROSA DE CONLARA AERO,2019-08-22
24.7,7,SANTIAGO DEL ESTERO AERO,2019-08-22
19.2,9.6,SAUCE VIEJO AERO,2019-08-22
21,8.5,SUNCHALES AERO,2019-08-22
16.4,2.5,TANDIL AERO,2019-08-22
23.1,8,TARTAGAL AERO,2019-08-22
25,5,TERMAS DE RIO HONDO AERO,2019-08-22
23.5,3,TINOGASTA,2019-08-22
16.7,3.6,TRELEW AERO,2019-08-22
20,5,TRENQUE LAUQUEN,2019-08-22
18,5,TRES ARROYOS,2019-08-22
23.6,4.9,TUCUMAN AERO,2019-08-22
5.4,2.5,USHUAIA AERO,2019-08-22
20.8,-0.5,USPALLATA,2019-08-22
19.6,4.7,VENADO TUERTO,2019-08-22
21.5,-0.3,VICTORICA,2019-08-22
16.6,1.6,VIEDMA AERO,2019-08-22
22.6,4.4,VILLA DOLORES AERO,2019-08-22
15.3,5,VILLA GESELL AERO,2019-08-22
23.9,5.9,VILLA MARIA DEL RIO SECO,2019-08-22
20.5,3.2,VILLA REYNOLDS AERO,2019-08-22
15.8,7.5,AEROPARQUE AERO,2019-08-23
19.4,1.5,AZUL AERO,2019-08-23
19.6,1.3,BAHIA BLANCA AERO,2019-08-23
11.6,1,BARILOCHE AERO,2019-08-23
-7.2,-16,BASE BELGRANO II,2019-08-23
0.3,-5.5,BASE CARLINI (EX JUBANY),2019-08-23
-1.4,-7.2,BASE ESPERANZA,2019-08-23
-0.7,-8.9,BASE MARAMBIO,2019-08-23
-0.6,-9.3,BASE ORCADAS,2019-08-23
-11.2,-19.5,BASE SAN MARTIN,2019-08-23
19,2,BENITO JUAREZ AERO,2019-08-23
19,9,BERNARDO DE IRIGOYEN AERO,2019-08-23
19.3,1.9,BOLIVAR AERO,2019-08-23
17.8,6.2,BUENOS AIRES,2019-08-23
18,1.8,CAMPO DE MAYO AERO,2019-08-23
25.2,14.8,CATAMARCA AERO,2019-08-23
22.2,5,CERES AERO,2019-08-23
24,9.5,CHAMICAL AERO,2019-08-23
15.5,0.4,CHAPELCO AERO,2019-08-23
22.5,13,CHEPES,2019-08-23
25,4.5,CHILECITO AERO,2019-08-23
14.8,6.7,CIPOLLETTI,2019-08-23
16.6,5.3,COMODORO RIVADAVIA AERO,2019-08-23
19.4,3,CONCORDIA AERO,2019-08-23
21.3,4.5,CORDOBA AERO,2019-08-23
22,6.8,CORDOBA OBSERVATORIO,2019-08-23
18.1,-0.5,CORONEL PRINGLES AERO,2019-08-23
18.3,-0.9,CORONEL SUAREZ AERO,2019-08-23
23.2,5.4,CORRIENTES AERO,2019-08-23
18,3.5,DOLORES AERO,2019-08-23
12,1.5,EL BOLSON AERO,2019-08-23
10.4,1,EL CALAFATE AERO,2019-08-23
18,1,EL PALOMAR AERO,2019-08-23
19.1,1.2,EL TREBOL,2019-08-23
21.2,2.7,ESC.AVIACION MILITAR AERO,2019-08-23
,1,ESQUEL AERO,2019-08-23
18.4,1.8,EZEIZA AERO,2019-08-23
23.6,5.2,FORMOSA AERO,2019-08-23
22.5,6.5,GENERAL PICO AERO,2019-08-23
15,4,GOBERNADOR GREGORES AERO,2019-08-23
19.2,0.9,GUALEGUAYCHU AERO,2019-08-23
24,10.5,IGUAZU AERO,2019-08-23
24.2,6.6,ITUZAINGO,2019-08-23
24.4,0.3,JACHAL,2019-08-23
22.8,4.8,JUJUY AERO,2019-08-23
21.9,3.9,JUJUY U N,2019-08-23
19.2,2.8,JUNIN AERO,2019-08-23
16.6,1.5,LA PLATA AERO,2019-08-23
17.5,-4.6,LA QUIACA OBS.,2019-08-23
25.9,7.1,LA RIOJA AERO,2019-08-23
22,4,LABOULAYE AERO,2019-08-23
,2.9,LAS FLORES AERO,2019-08-23
26.5,8.5,LAS LOMITAS,2019-08-23
20,1.2,MALARGUE AERO,2019-08-23
11.6,2.6,MAQUINCHAO,2019-08-23
13.2,-0.2,MAR DEL PLATA AERO,2019-08-23
20.2,3,MARCOS JUAREZ AERO,2019-08-23
18.9,0,MARIANO MORENO AERO,2019-08-23
22.6,5.2,MENDOZA AERO,2019-08-23
,7.4,MENDOZA OBSERVATORIO,2019-08-23
22.2,4.4,MERCEDES AERO (CTES),2019-08-23
19,4.5,MERLO AERO,2019-08-23
24.2,6,METAN,2019-08-23
21,5.1,MONTE CASEROS AERO,2019-08-23
18.4,3.9,MORON AERO,2019-08-23
14.2,7.9,NEUQUEN AERO,2019-08-23
19.3,4.4,NUEVE DE JULIO,2019-08-23
23,8.8,OBERA AERO,2019-08-23
19.4,1.2,OLAVARRIA AERO,2019-08-23
27.5,8.2,ORAN AERO,2019-08-23
19.6,5.1,PARANA AERO,2019-08-23
16.6,2.5,PASO DE INDIOS,2019-08-23
21,5,PASO DE LOS LIBRES AERO,2019-08-23
24,1.6,PCIA. ROQUE SAENZ PE�A AERO,2019-08-23
19.1,4.2,PEHUAJO AERO,2019-08-23
11.9,2.7,PERITO MORENO AERO,2019-08-23
17.8,2.1,PIGUE AERO,2019-08-23
20,4,PILAR OBS.,2019-08-23
25.3,9.4,POSADAS AERO,2019-08-23
9,2.8,PUERTO DESEADO AERO,2019-08-23
15.6,6.4,PUERTO MADRYN AERO,2019-08-23
17.5,2.7,PUNTA INDIO B.A.,2019-08-23
,4.4,RAFAELA AERO,2019-08-23
21.6,5,RECONQUISTA AERO,2019-08-23
24,4,RESISTENCIA AERO,2019-08-23
20.8,6.4,RIO COLORADO,2019-08-23
21.2,5.5,RIO CUARTO AERO,2019-08-23
8.5,0.3,RIO GALLEGOS AERO,2019-08-23
5.5,-2.4,RIO GRANDE B.A.,2019-08-23
28.5,7.3,RIVADAVIA,2019-08-23
18.5,2.2,ROSARIO AERO,2019-08-23
22.6,1.3,SALTA AERO,2019-08-23
18.8,3.8,SAN ANTONIO OESTE AERO,2019-08-23
23,1.5,SAN CARLOS (MZA),2019-08-23
17,2.5,SAN FERNANDO,2019-08-23
24,2.5,SAN JUAN AERO,2019-08-23
11.4,0.9,SAN JULIAN AERO,2019-08-23
23.1,8.5,SAN LUIS AERO,2019-08-23
23.6,6.1,SAN MARTIN (MZA),2019-08-23
23,4,SAN RAFAEL AERO,2019-08-23
11.2,1.7,SANTA CRUZ AERO,2019-08-23
21.5,4.8,SANTA ROSA AERO,2019-08-23
23.6,1.8,SANTA ROSA DE CONLARA AERO,2019-08-23
26.2,2.9,SANTIAGO DEL ESTERO AERO,2019-08-23
21,4.5,SAUCE VIEJO AERO,2019-08-23
20.8,3.6,SUNCHALES AERO,2019-08-23
18.2,-0.1,TANDIL AERO,2019-08-23
26.4,7.5,TARTAGAL AERO,2019-08-23
27.2,4,TERMAS DE RIO HONDO AERO,2019-08-23
25.6,6,TINOGASTA,2019-08-23
18.4,3.3,TRELEW AERO,2019-08-23
19.4,5,TRENQUE LAUQUEN,2019-08-23
18.4,2.4,TRES ARROYOS,2019-08-23
26.7,8.2,TUCUMAN AERO,2019-08-23
6,1.8,USHUAIA AERO,2019-08-23
26.5,-2.5,USPALLATA,2019-08-23
20.3,2.7,VENADO TUERTO,2019-08-23
24,7.1,VICTORICA,2019-08-23
18.2,0.1,VIEDMA AERO,2019-08-23
24.8,7,VILLA DOLORES AERO,2019-08-23
15,3.8,VILLA GESELL AERO,2019-08-23
22.6,0.2,VILLA MARIA DEL RIO SECO,2019-08-23
26,0,VILLA REYNOLDS AERO,2019-08-23
16.5,11,AEROPARQUE AERO,2019-08-24
18.2,2.9,AZUL AERO,2019-08-24
22.4,9.4,BAHIA BLANCA AERO,2019-08-24
12.4,2.4,BARILOCHE AERO,2019-08-24
-7,-15,BASE BELGRANO II,2019-08-24
3.2,-1.9,BASE CARLINI (EX JUBANY),2019-08-24
2.1,-8,BASE ESPERANZA,2019-08-24
-3.6,-9.1,BASE MARAMBIO,2019-08-24
1.5,-2.5,BASE ORCADAS,2019-08-24
-5,-16,BASE SAN MARTIN,2019-08-24
19,3.2,BENITO JUAREZ AERO,2019-08-24
23.2,10.2,BERNARDO DE IRIGOYEN AERO,2019-08-24
20,6.1,BOLIVAR AERO,2019-08-24
17.8,9.9,BUENOS AIRES,2019-08-24
18.3,4,CAMPO DE MAYO AERO,2019-08-24
27.9,6.3,CATAMARCA AERO,2019-08-24
24.5,5.8,CERES AERO,2019-08-24
23.6,9.6,CHAMICAL AERO,2019-08-24
14.2,2.2,CHAPELCO AERO,2019-08-24
23.5,12.2,CHEPES,2019-08-24
24.7,6.5,CHILECITO AERO,2019-08-24
19.4,6.8,CIPOLLETTI,2019-08-24
20,8.4,COMODORO RIVADAVIA AERO,2019-08-24
21.5,6.1,CONCORDIA AERO,2019-08-24
23,3.3,CORDOBA AERO,2019-08-24
23.6,7.2,CORDOBA OBSERVATORIO,2019-08-24
,5,CORONEL PRINGLES AERO,2019-08-24
20.5,3.8,CORONEL SUAREZ AERO,2019-08-24
26.2,9,CORRIENTES AERO,2019-08-24
17.5,6,DOLORES AERO,2019-08-24
12.5,6,EL BOLSON AERO,2019-08-24
10.4,-0.6,EL CALAFATE AERO,2019-08-24
18,3.5,EL PALOMAR AERO,2019-08-24
21.2,5.6,EL TREBOL,2019-08-24
22.5,3.3,ESC.AVIACION MILITAR AERO,2019-08-24
,1.5,ESQUEL AERO,2019-08-24
17.6,6.9,EZEIZA AERO,2019-08-24
28.8,9.4,FORMOSA AERO,2019-08-24
23,7.2,GENERAL PICO AERO,2019-08-24
13.5,6.6,GOBERNADOR GREGORES AERO,2019-08-24
20,6.8,GUALEGUAYCHU AERO,2019-08-24
28,10.6,IGUAZU AERO,2019-08-24
27,6.5,ITUZAINGO,2019-08-24
23.9,0.7,JACHAL,2019-08-24
25.2,7.8,JUJUY AERO,2019-08-24
23,5.8,JUJUY U N,2019-08-24
19.8,5,JUNIN AERO,2019-08-24
17.4,5.4,LA PLATA AERO,2019-08-24
20.5,-1.8,LA QUIACA OBS.,2019-08-24
24.5,8.9,LA RIOJA AERO,2019-08-24
22.3,5.6,LABOULAYE AERO,2019-08-24
18.3,7,LAS FLORES AERO,2019-08-24
30,10.8,LAS LOMITAS,2019-08-24
23.4,1.2,MALARGUE AERO,2019-08-24
13.9,1,MAQUINCHAO,2019-08-24
18.5,2,MAR DEL PLATA AERO,2019-08-24
22,4.5,MARCOS JUAREZ AERO,2019-08-24
18.7,3.7,MARIANO MORENO AERO,2019-08-24
24.2,7.7,MENDOZA AERO,2019-08-24
,7,MENDOZA OBSERVATORIO,2019-08-24
24,8.8,MERCEDES AERO (CTES),2019-08-24
18.7,6.7,MERLO AERO,2019-08-24
26.3,7.5,METAN,2019-08-24
22.2,8,MONTE CASEROS AERO,2019-08-24
18,8.2,MORON AERO,2019-08-24
19.4,5.1,NEUQUEN AERO,2019-08-24
19.9,5.8,NUEVE DE JULIO,2019-08-24
26.5,9.5,OBERA AERO,2019-08-24
19.5,3.5,OLAVARRIA AERO,2019-08-24
28.5,9.6,ORAN AERO,2019-08-24
20.9,5.6,PARANA AERO,2019-08-24
17.6,2.7,PASO DE INDIOS,2019-08-24
22.6,8.4,PASO DE LOS LIBRES AERO,2019-08-24
27,5,PCIA. ROQUE SAENZ PE�A AERO,2019-08-24
20.4,7,PEHUAJO AERO,2019-08-24
11.4,4.7,PERITO MORENO AERO,2019-08-24
20,5,PIGUE AERO,2019-08-24
22.5,5.4,PILAR OBS.,2019-08-24
26.5,10.4,POSADAS AERO,2019-08-24
16,4.8,PUERTO DESEADO AERO,2019-08-24
18.6,5.8,PUERTO MADRYN AERO,2019-08-24
15.5,7,PUNTA INDIO B.A.,2019-08-24
,5.5,RAFAELA AERO,2019-08-24
24.4,7.4,RECONQUISTA AERO,2019-08-24
27.2,6.9,RESISTENCIA AERO,2019-08-24
22.2,10.4,RIO COLORADO,2019-08-24
22.9,8.1,RIO CUARTO AERO,2019-08-24
11.5,2.5,RIO GALLEGOS AERO,2019-08-24
5.6,2,RIO GRANDE B.A.,2019-08-24
31,10,RIVADAVIA,2019-08-24
20.6,7.9,ROSARIO AERO,2019-08-24
24.1,3.3,SALTA AERO,2019-08-24
22.1,7.2,SAN ANTONIO OESTE AERO,2019-08-24
24.5,2,SAN CARLOS (MZA),2019-08-24
18,7.5,SAN FERNANDO,2019-08-24
24.5,3.5,SAN JUAN AERO,2019-08-24
15.4,3.4,SAN JULIAN AERO,2019-08-24
25.1,10.6,SAN LUIS AERO,2019-08-24
24.4,6.1,SAN MARTIN (MZA),2019-08-24
24.2,4.8,SAN RAFAEL AERO,2019-08-24
13,4.4,SANTA CRUZ AERO,2019-08-24
24.7,7.1,SANTA ROSA AERO,2019-08-24
23.6,1.8,SANTA ROSA DE CONLARA AERO,2019-08-24
28,4.7,SANTIAGO DEL ESTERO AERO,2019-08-24
21.6,,SAUCE VIEJO AERO,2019-08-24
23.4,5.7,SUNCHALES AERO,2019-08-24
18,1.5,TANDIL AERO,2019-08-24
29,12.6,TARTAGAL AERO,2019-08-24
25.6,6.8,TERMAS DE RIO HONDO AERO,2019-08-24
27,3.5,TINOGASTA,2019-08-24
19.9,5.4,TRELEW AERO,2019-08-24
21.6,6.9,TRENQUE LAUQUEN,2019-08-24
19.5,6.8,TRES ARROYOS,2019-08-24
26,8.4,TUCUMAN AERO,2019-08-24
9.2,3.5,USHUAIA AERO,2019-08-24
,-0.8,USPALLATA,2019-08-24
21,4.5,VENADO TUERTO,2019-08-24
25.5,7.1,VICTORICA,2019-08-24
21,9.2,VIEDMA AERO,2019-08-24
24.8,10.6,VILLA DOLORES AERO,2019-08-24
18.4,5.1,VILLA GESELL AERO,2019-08-24
24.7,1.6,VILLA MARIA DEL RIO SECO,2019-08-24
26,5.6,VILLA REYNOLDS AERO,2019-08-24
15.8,11.9,AEROPARQUE AERO,2019-08-25
19,1,AZUL AERO,2019-08-25
19.5,8.2,BAHIA BLANCA AERO,2019-08-25
9,-2.6,BARILOCHE AERO,2019-08-25
-9,-19,BASE BELGRANO II,2019-08-25
3.1,-1.3,BASE CARLINI (EX JUBANY),2019-08-25
2.3,-1.6,BASE ESPERANZA,2019-08-25
-3.7,-12.1,BASE MARAMBIO,2019-08-25
0.5,-3.5,BASE ORCADAS,2019-08-25
